Term,Stamm,Sprache,Zeitraum
కన్నమువేయు,వేయు,Telugu,600 CE - present
కన్నబిడ్డ,కన్న,Telugu,600 CE - present
కన్నబిడ్డ,బిడ్డ,Telugu,600 CE - present
కన్నతండ్రి,కన్న,Telugu,600 CE - present
కన్నతండ్రి,తండ్రి,Telugu,600 CE - present
కన్నతల్లి,కన్న,Telugu,600 CE - present
కన్నతల్లి,తల్లి,Telugu,600 CE - present
బెరీలియము,beryllium,English,1550 CE - present
మెగ్నీషియము,magnesium,English,1550 CE - present
గుడిప్రదక్షిణము,గుడి,Telugu,600 CE - present
గుడిప్రదక్షిణము,ప్రదక్షిణము,Telugu,600 CE - present
పడుపుకొమ్మ,పడుపు,Telugu,600 CE - present
పడుపుకొమ్మ,కొమ్మ,Telugu,600 CE - present
పడుపుకూడు,పడుపు,Telugu,600 CE - present
పడుపుకూడు,కూడు,Telugu,600 CE - present
భక్తసులభుడు,భక్త,Telugu,600 CE - present
భక్తసులభుడు,సులభుడు,Telugu,600 CE - present
త్రాగుబోతు,త్రాగు,Telugu,600 CE - present
త్రాగుబోతు,పోతు,Telugu,600 CE - present
హీలియము,helium,English,1550 CE - present
బోరాను,boron,English,1550 CE - present
ఫ్లోరీను,fluorine,English,1550 CE - present
నియాను,neon,English,1550 CE - present
ఎగదువ్వు,ఎగ,Telugu,600 CE - present
ఎగదువ్వు,దువ్వు,Telugu,600 CE - present
ఎగగ్రోలు,ఎగ,Telugu,600 CE - present
ఎగగ్రోలు,గ్రోలు,Telugu,600 CE - present
ఎగదన్ను,ఎగ,Telugu,600 CE - present
ఎగదన్ను,తన్ను,Telugu,600 CE - present
ఎగబ్రాకు,ఎగ,Telugu,600 CE - present
ఎగబ్రాకు,ప్రాకు,Telugu,600 CE - present
ఎగజల్లు,ఎగ,Telugu,600 CE - present
ఎగజల్లు,జల్లు,Telugu,600 CE - present
ఎక్కువతక్కువ,ఎక్కువ,Telugu,600 CE - present
ఎక్కువతక్కువ,తక్కువ,Telugu,600 CE - present
అల్యూమినియము,aluminium,English,1550 CE - present
సిలికాను,silicon,English,1550 CE - present
క్లోరిను,chlorine,English,1550 CE - present
క్లోరిను,χλωρός,Ancient Greek,1500 BCE - 300 BCE
ఆర్గాను,argon,English,1550 CE - present
కాల్షియము,calcium,English,1550 CE - present
గ్రద్ద,गृध्र,Sanskrit,1500 BCE - present (liturgical/classical)
రాహుకేతులు,రాహువు,Telugu,600 CE - present
రాహుకేతులు,కేతువు,Telugu,600 CE - present
నిద్ర,निद्रा,Sanskrit,1500 BCE - present (liturgical/classical)
శీఘ్రము,शीघ्र,Sanskrit,1500 BCE - present (liturgical/classical)
వారణాసి,वाराणसी,Sanskrit,1500 BCE - present (liturgical/classical)
వారణాసి,వరణ,Telugu,600 CE - present
వారణాసి,అసి,Telugu,600 CE - present
సోడా,soda,Italian,1400 CE - present
సోడా,سُوَّاد,Arabic,600 CE - present
పరి,परि,Sanskrit,1500 BCE - present (liturgical/classical)
టెన్నిసు,tennis,English,1550 CE - present
టెలిఫోను,telephone,English,1550 CE - present
టెలిఫోను,téléphone,French,1600 CE - present
టెలిఫోను,τῆλε,Ancient Greek,1500 BCE - 300 BCE
బహు,बहु,Sanskrit,1500 BCE - present (liturgical/classical)
పటాలము,battalion,English,1550 CE - present
చుట్టుకొలత,చుట్టు,Telugu,600 CE - present
చుట్టుకొలత,కొలత,Telugu,600 CE - present
కోలాటము,కోల,Telugu,600 CE - present
కోలాటము,ఆట,Telugu,600 CE - present
ముద్దరాలు,ముద్ద,Telugu,600 CE - present
ముద్దరాలు,ర,Telugu,600 CE - present
ముద్దరాలు,ఆలు,Telugu,600 CE - present
ఆకుచాటుపిందియ,ఆకు,Telugu,600 CE - present
ఆకుచాటుపిందియ,చాటు,Telugu,600 CE - present
ఆకుచాటుపిందియ,పిందియ,Telugu,600 CE - present
ఖనకుడు,खनक,Sanskrit,1500 BCE - present (liturgical/classical)
ఊరపంది,ఊర,Telugu,600 CE - present
ఊరపంది,పంది,Telugu,600 CE - present
తాటికాయ,తాటి,Telugu,600 CE - present
తాటికాయ,కాయ,Telugu,600 CE - present
పదియేడు,పది,Telugu,600 CE - present
పదియేడు,ఏడు,Telugu,600 CE - present
స్కాండియము,scandium,English,1550 CE - present
టైటానియము,titanium,English,1550 CE - present
క్రోమియము,chromium,English,1550 CE - present
ఎర్రపోతమ్మ,ఎర్ర,Telugu,600 CE - present
ఎర్రపోతమ్మ,పోతమ్మ,Telugu,600 CE - present
తాతమ్మ,తాత,Telugu,600 CE - present
తాతమ్మ,అమ్మ,Telugu,600 CE - present
పోలేరమ్మ,పోలు,Telugu,600 CE - present
పోలేరమ్మ,ఏరు,Telugu,600 CE - present
పోలేరమ్మ,అమ్మ,Telugu,600 CE - present
బువ్వమ్మ,బువ్వ,Telugu,600 CE - present
