Term,Stamm,Sprache,Zeitraum
शूर,*ḱewH-,Proto-Indo-European,4500 BCE - 2500 BCE
मन्त्रालय,मन्त्रिन्,Sanskrit,1500 BCE - present (liturgical/classical)
मन्त्रालय,आलय,Sanskrit,1500 BCE - present (liturgical/classical)
स्तनति,*stánati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
स्तनति,*stánati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अर्घ,*Hargʰás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अर्घ,*h₂elgʷʰ-ós,Proto-Indo-European,4500 BCE - 2500 BCE
अर्हति,*Hárǰʰati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अर्हति,*h₂elgʷʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
द्विगु,द्वि,Sanskrit,1500 BCE - present (liturgical/classical)
द्विगु,गु,Sanskrit,1500 BCE - present (liturgical/classical)
वर्त्मन्,*wártma,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वर्त्मन्,*wártma,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वर्त्मन्,*wértmn̥,Proto-Indo-European,4500 BCE - 2500 BCE
घर्षति,*gʰárṣati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
घर्षति,*gʰáršati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
शिक्षति,*ćikš-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
इतर,*Hítaras,Proto-Indo-Iranian,2200 BCE - 1800 BCE
इतर,*ís,Proto-Indo-European,4500 BCE - 2500 BCE
प्रियदर्शिन्,प्रिय,Sanskrit,1500 BCE - present (liturgical/classical)
प्रियदर्शिन्,दर्शिन्,Sanskrit,1500 BCE - present (liturgical/classical)
वष्टि,*wáṣṭi,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वष्टि,*wášti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
गूर्त,*gr̥Htás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
गूर्त,*gr̥Htás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
घृणोति,*gʰr̥náwti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
घृणोति,*gʰr̥náwti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
आत्मनेपद,आत्मन्,Sanskrit,1500 BCE - present (liturgical/classical)
आत्मनेपद,पद,Sanskrit,1500 BCE - present (liturgical/classical)
उच्यति,*Húćyati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
उच्यति,*Húčyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रायति,*ráHyati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
रायति,*ráHyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रायति,*leh₂-,Proto-Indo-European,4500 BCE - 2500 BCE
-त्व,*-twam,Proto-Indo-Aryan,2000 BCE - 1500 BCE
-त्व,*-twam,Proto-Indo-Iranian,2200 BCE - 1800 BCE
त्रसति,*trásati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
त्रसति,*trásati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
त्रसति,*tres-,Proto-Indo-European,4500 BCE - 2500 BCE
सहस्,*sáȷ́ʰas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
सहस्,*seǵʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
जीर्यति,*ȷ́ŕ̥Hyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
जीर्यति,*ǵerh₂-,Proto-Indo-European,4500 BCE - 2500 BCE
कृश,*kr̥śás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
कृश,*kr̥ćás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
कृश,*kr̥ḱós,Proto-Indo-European,4500 BCE - 2500 BCE
लुप्त,*Hluptás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
लुप्त,*Hrewp-,Proto-Indo-European,4500 BCE - 2500 BCE
लुप्त,*Hluptám,Proto-Indo-Iranian,2200 BCE - 1800 BCE
युध्यते,*Hyawdʰ-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
युध्यते,*Hyewdʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
ईर्ष्यति,*Harš-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ईर्ष्यति,*h₁ers-,Proto-Indo-European,4500 BCE - 2500 BCE
तक्षशिला,तक्ष,Sanskrit,1500 BCE - present (liturgical/classical)
तक्षशिला,शिला,Sanskrit,1500 BCE - present (liturgical/classical)
रिणक्ति,*rinákti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
रिणक्ति,*rinákti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रिणक्ति,*linékʷti,Proto-Indo-European,4500 BCE - 2500 BCE
गा,*gʷeh₂-,Proto-Indo-European,4500 BCE - 2500 BCE
हित,*ǵʰey-,Proto-Indo-European,4500 BCE - 2500 BCE
मृडति,*mr̥žd-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
गदा,*gadā,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मज्जति,*máźȷ́ati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
मज्जति,*mázǰati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मज्जति,*mesg-,Proto-Indo-European,4500 BCE - 2500 BCE
भिषज्,*bʰišáȷ́,Proto-Indo-Iranian,2200 BCE - 1800 BCE
भेषज्य,*bʰiš-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वपति,*swápati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
स्वपति,*swápati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
कश्यप,*kaćyápas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
जिघ्रति,*ȷ́ígʰrati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
जिघ्रति,*ǰʰígʰrati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
पद्यते,*pádyatay,Proto-Indo-Aryan,2000 BCE - 1500 BCE
पद्यते,*pádyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वक्ति,*wákti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वक्ति,*wákti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्रोतस्,*sráwtas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वक्षति,*Hwákṣati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वक्षति,*Hwákšati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
उष्ट,*Huṣṭás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
उष्ट,*Huštás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मयूख,*mayū́kʰas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
हीन,*ȷ́ʰHnás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
हीन,*ǵʰh₁-nós,Proto-Indo-European,4500 BCE - 2500 BCE
पीडयति,*piždáyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
सन्ति,*Hsánti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
सन्ति,*Hsánti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
सन्ति,*h₁sénti,Proto-Indo-European,4500 BCE - 2500 BCE
गद्य,*gʷet-,Proto-Indo-European,4500 BCE - 2500 BCE
दक्षिणापथ,दक्षिणा,Sanskrit,1500 BCE - present (liturgical/classical)
दक्षिणापथ,पथ,Sanskrit,1500 BCE - present (liturgical/classical)
गभीर,*gabʰrás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
गभीर,*gabʰrás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वधा,*swádʰaH,Proto-Indo-Aryan,2000 BCE - 1500 BCE
स्वधा,*swádʰaH,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वधा,*dʰeh₁-,Proto-Indo-European,4500 BCE - 2500 BCE
सनितुर्,*sanHtŕ̥,Proto-Indo-Aryan,2000 BCE - 1500 BCE
सनितुर्,*sanHtŕ̥,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ऋभु,*Hr̥bʰúṣ,Proto-Indo-Aryan,2000 BCE - 1500 BCE
ऋभु,*Hr̥bʰúš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ऋभु,*h₂elbʰós,Proto-Indo-European,4500 BCE - 2500 BCE
एरका,*h₂eyr-,Proto-Indo-European,4500 BCE - 2500 BCE
कर्पास,*k-rn-pas,Proto-Austroasiatic,not available
कर्पास,*kpaas,Proto-Mon-Khmer,not available
छर्दति,*kerd-,Proto-Indo-European,4500 BCE - 2500 BCE
मिथस्,*meytH-,Proto-Indo-European,4500 BCE - 2500 BCE
मीर,*mey-,Proto-Indo-European,4500 BCE - 2500 BCE
मीर,*móri,Proto-Indo-European,4500 BCE - 2500 BCE
स्वपिति,*swápati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
स्वपिति,*swápati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
उन्नत,उन्नति,Sanskrit,1500 BCE - present (liturgical/classical)
अही,*Haȷ́ʰíH,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अही,*h₂eǵʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
मास्,*mā́Has,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मास्,*mḗh₁n̥s,Proto-Indo-European,4500 BCE - 2500 BCE
प्रतीति,प्रति,Sanskrit,1500 BCE - present (liturgical/classical)
प्रतीति,इति,Sanskrit,1500 BCE - present (liturgical/classical)
नेम,*náymas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वपस्,*HsuHápas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
स्वपस्,*HsuHápas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वपस्,*h₁suh₃épos,Proto-Indo-European,4500 BCE - 2500 BCE
शफर,*ḱeph₂elos,Proto-Indo-European,4500 BCE - 2500 BCE
चष्टे,*ćáṣtay,Proto-Indo-Aryan,2000 BCE - 1500 BCE
चष्टे,*čáštay,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रेष,*rayṣás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
रेष,*rayšás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रिष्ट,*riṣṭás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
रिष्ट,*rištás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
सृक,*sr̥gás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
सृक,*sr̥gás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
तुरीय,*turíHas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
तुरीय,*turíHas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
तुरीय,*kʷetwr̥-,Proto-Indo-European,4500 BCE - 2500 BCE
वहित्र,*weǵʰitlom,Proto-Indo-European,4500 BCE - 2500 BCE
यशस्,*yáćas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
त्रास,*trāsás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
क्षरति,*gẓʰar-,Proto-Indo-Aryan,2000 BCE - 1500 BCE
क्षरति,*gžʰárati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
क्षरति,*dʰgʷʰéreti,Proto-Indo-European,4500 BCE - 2500 BCE
अस्त,*ástam,Proto-Indo-Aryan,2000 BCE - 1500 BCE
अस्त,*ástam,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वसिष्ठ,*Hwásištʰas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
लभ्,*labʰ-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
लभ्,*lebʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
ईडयति,*iẓḍ-,Proto-Indo-Aryan,2000 BCE - 1500 BCE
ईडयति,*h₂eysd-,Proto-Indo-European,4500 BCE - 2500 BCE
ईळे,*Híẓḍay,Proto-Indo-Aryan,2000 BCE - 1500 BCE
ईळे,*Hížday,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ईळे,*h₂eysd-,Proto-Indo-European,4500 BCE - 2500 BCE
ऋणोति,*Hr̥náwti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
ऋणोति,*Hr̥náwti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
नीळ,*niẓḍás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
नीळ,*niždás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
नीळ,*nisdós,Proto-Indo-European,4500 BCE - 2500 BCE
वोळ्हृ,*wáẓḍʰā,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वोळ्हृ,*wáždʰā,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वोळ्हृ,*wéǵʰtōr,Proto-Indo-European,4500 BCE - 2500 BCE
वोढृ,*wáẓḍʰā,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वोढृ,*wáždʰā,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वोढृ,*wéǵʰtōr,Proto-Indo-European,4500 BCE - 2500 BCE
त्रिष्टुभ्,त्रि,Sanskrit,1500 BCE - present (liturgical/classical)
त्रिष्टुभ्,स्तुभ्,Sanskrit,1500 BCE - present (liturgical/classical)
निक्त,*neygʷ-,Proto-Indo-European,4500 BCE - 2500 BCE
महादेव,महा,Sanskrit,1500 BCE - present (liturgical/classical)
महादेव,देव,Sanskrit,1500 BCE - present (liturgical/classical)
भूमिपुत्र,भूमि,Sanskrit,1500 BCE - present (liturgical/classical)
भूमिपुत्र,पुत्र,Sanskrit,1500 BCE - present (liturgical/classical)
सुवर्णभूमि,सुवर्ण,Sanskrit,1500 BCE - present (liturgical/classical)
सुवर्णभूमि,भूमि,Sanskrit,1500 BCE - present (liturgical/classical)
अयस्कार,*Háyaskāras,Proto-Indo-Aryan,2000 BCE - 1500 BCE
अयस्कार,*Háyaskāras,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अयस्कार,अयस्,Sanskrit,1500 BCE - present (liturgical/classical)
अयस्कार,कार,Sanskrit,1500 BCE - present (liturgical/classical)
रेक्णस्,*ráyknas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
रेक्णस्,*ráyknas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
जिज्ञासते,*ȷ́íȷ́naHsatay,Proto-Indo-Aryan,2000 BCE - 1500 BCE
जिज्ञासते,*ȷ́íȷ́naHsatay,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मिमीते,*mímHatay,Proto-Indo-Iranian,2200 BCE - 1800 BCE
भजति,*bʰáȷ́ati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
भजति,*bʰáǰati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अर्चति,*Hárčati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
भाजयति,*bʰaHȷ́áyati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
भाजयति,*bʰaHǰáyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
भनक्ति,*bʰanákti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
भनक्ति,*bʰanákti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वस्यस्,*Hwásyas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
कारयति,*kāráyati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
कारयति,*kāráyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
